tensor([-0.0842, -0.0122])
tensor([-0.0658,  0.0050])
tensor([-0.0523,  0.0074])
tensor([-0.0586, -0.0089])
tensor([-0.0574,  0.0033])
tensor([-0.0559,  0.0032])
tensor([-0.0640, -0.0038])
tensor([-0.0625,  0.0112])
tensor([-0.0591, -0.0083])
tensor([-0.0507,  0.0011])
tensor([-0.0551,  0.0109])
tensor([-0.0542,  0.0095])
tensor([-0.0520,  0.0009])
tensor([-0.0632,  0.0077])
tensor([-0.0597,  0.0024])
tensor([-0.0500,  0.0054])
tensor([-0.0435,  0.0053])
tensor([-0.0478,  0.0108])
tensor([-0.0444,  0.0118])
tensor([-0.0519,  0.0159])
tensor([-0.0511,  0.0130])
tensor([-0.0417,  0.0151])
tensor([-0.0366,  0.0187])
tensor([-0.0386,  0.0054])
tensor([-0.0196,  0.0080])
tensor([-0.0285,  0.0214])
tensor([-0.0250,  0.0211])
tensor([-0.0334,  0.0219])
tensor([-0.0205,  0.0215])
tensor([-0.0290,  0.0237])
tensor([0.0007, 0.0147])
tensor([-0.0305,  0.0289])
tensor([-0.0029,  0.0135])
tensor([-0.0098,  0.0317])
tensor([-0.0093,  0.0270])
tensor([-0.0153,  0.0291])
tensor([0.0109, 0.0334])
tensor([0.0032, 0.0420])
tensor([-0.0027,  0.0286])
tensor([0.0105, 0.0447])
tensor([0.0096, 0.0374])
tensor([0.0240, 0.0483])
tensor([0.0193, 0.0612])
tensor([0.0254, 0.0495])
tensor([0.0282, 0.0566])
tensor([0.0281, 0.0586])
tensor([0.0365, 0.0624])
tensor([0.0410, 0.0678])
tensor([0.0501, 0.0736])
tensor([0.0507, 0.0753])
tensor([0.0481, 0.0776])
tensor([0.0549, 0.0690])
tensor([0.0587, 0.0759])
tensor([0.0806, 0.0767])
tensor([0.0578, 0.0894])
tensor([0.0732, 0.0943])
tensor([0.0769, 0.0902])
tensor([0.0813, 0.0879])
tensor([0.0853, 0.1011])
tensor([0.0833, 0.1018])
tensor([0.0821, 0.1108])
tensor([0.0814, 0.0990])
tensor([0.0930, 0.1138])
tensor([0.1100, 0.1072])
tensor([0.0949, 0.1123])
tensor([0.0956, 0.1175])
tensor([0.1061, 0.1193])
tensor([0.1051, 0.1239])
tensor([0.0911, 0.1145])
tensor([0.1204, 0.1352])
tensor([0.1049, 0.1253])
tensor([0.1105, 0.1400])
tensor([0.1315, 0.1312])
tensor([0.0926, 0.1737])
tensor([0.0963, 0.1546])
tensor([0.1116, 0.1449])
tensor([0.1054, 0.1421])
tensor([-0.0455, -0.1015])
tensor([-0.0399, -0.1079])
tensor([-0.0433, -0.1072])
tensor([-0.0444, -0.0943])
tensor([-0.0350, -0.1025])
tensor([-0.0459, -0.0906])
tensor([-0.0421, -0.1006])
tensor([-0.0476, -0.0915])
tensor([-0.0468, -0.0872])
tensor([-0.0573, -0.0829])
tensor([-0.0465, -0.0898])
tensor([-0.0431, -0.0760])
tensor([-0.0393, -0.0803])
tensor([-0.0585, -0.0860])
tensor([-0.0408, -0.0713])
tensor([-0.0356, -0.0898])
tensor([-0.0445, -0.0658])
tensor([-0.0318, -0.0673])
tensor([-0.0379, -0.0823])
tensor([-0.0309, -0.0782])
tensor([-0.0438, -0.0576])
tensor([-0.0375, -0.0680])
tensor([-0.0337, -0.0501])
tensor([-0.0373, -0.0585])
tensor([-0.0496, -0.0662])
tensor([-0.0392, -0.0501])
tensor([-0.0343, -0.0414])
tensor([-0.0282, -0.0554])
tensor([-0.0425, -0.0457])
tensor([-0.0344, -0.0424])
tensor([-0.0395, -0.0437])
tensor([-0.0290, -0.0469])
tensor([-0.0438, -0.0451])
tensor([-0.0281, -0.0488])
tensor([-0.0164, -0.0470])
tensor([-0.0146, -0.0367])
tensor([-0.0401, -0.0533])
tensor([-0.0131, -0.0570])
tensor([-0.0208, -0.0504])
tensor([-0.0261, -0.0495])
tensor([-0.0282, -0.0496])
tensor([-0.0266, -0.0598])
tensor([-0.0113, -0.0502])
tensor([-0.0096, -0.0537])
tensor([-0.0061, -0.0639])
tensor([-0.0140, -0.0460])
tensor([-0.0025, -0.0496])
tensor([ 0.0050, -0.0500])
tensor([ 0.0024, -0.0536])
tensor([ 0.0003, -0.0542])
tensor([ 0.0083, -0.0523])
tensor([ 0.0120, -0.0580])
tensor([ 0.0142, -0.0590])
tensor([ 0.0178, -0.0520])
tensor([ 0.0213, -0.0613])
tensor([ 0.0173, -0.0589])
tensor([ 0.0185, -0.0541])
tensor([ 0.0285, -0.0540])
tensor([ 0.0510, -0.0519])
tensor([ 0.0351, -0.0574])
tensor([ 0.0433, -0.0578])
tensor([ 0.0537, -0.0598])
tensor([ 0.0497, -0.0626])
tensor([ 0.0422, -0.0572])
tensor([ 0.0573, -0.0541])
tensor([ 0.0605, -0.0490])
tensor([ 0.0507, -0.0491])
tensor([ 0.0503, -0.0436])
tensor([ 0.0644, -0.0455])
tensor([ 0.0850, -0.0487])
tensor([ 0.0647, -0.0467])
tensor([ 0.0741, -0.0476])
tensor([ 0.0897, -0.0375])
tensor([ 0.0915, -0.0414])
tensor([ 0.0844, -0.0303])
tensor([ 0.0828, -0.0351])
tensor([ 0.0908, -0.0368])
tensor([ 0.0783, -0.0253])
tensor([ 0.0892, -0.0310])
tensor([ 0.1051, -0.0336])
tensor([ 0.1099, -0.0250])
tensor([ 0.1004, -0.0168])
tensor([ 0.1397, -0.0357])
tensor([ 0.1134, -0.0037])
tensor([ 0.1258, -0.0110])
tensor([ 0.1234, -0.0108])
tensor([ 0.1328, -0.0161])
tensor([ 0.1336, -0.0061])
tensor([ 0.1364, -0.0034])
tensor([ 0.1428, -0.0068])
tensor([ 0.1421, -0.0161])
tensor([0.1428, 0.0029])
tensor([ 0.1499, -0.0023])
tensor([0.1621, 0.0102])
tensor([0.1733, 0.0063])
tensor([0.1535, 0.0011])
tensor([0.1545, 0.0018])
tensor([0.1650, 0.0138])
tensor([0.1805, 0.0219])
tensor([0.1777, 0.0052])
tensor([0.1648, 0.0074])
tensor([0.1823, 0.0121])
tensor([0.1679, 0.0161])
tensor([0.1838, 0.0311])
tensor([0.1999, 0.0300])
tensor([0.1971, 0.0383])
tensor([0.1833, 0.0262])
tensor([0.2118, 0.0290])
tensor([0.1882, 0.0268])
tensor([0.1998, 0.0384])
tensor([0.2011, 0.0343])
tensor([ 0.1957, -0.0258])
tensor([ 0.1869, -0.0412])
tensor([0.2089, 0.0076])
tensor([ 0.2059, -0.0131])
tensor([ 0.1932, -0.0224])
tensor([ 0.1852, -0.0130])
tensor([ 0.1672, -0.0383])
tensor([ 0.1600, -0.0536])
tensor([ 0.1376, -0.0598])
tensor([ 0.1415, -0.0795])
tensor([ 0.0382, -0.0712])
tensor([ 0.0444, -0.0825])
tensor([ 0.0370, -0.0653])
tensor([ 0.0443, -0.0798])
tensor([ 0.0441, -0.0803])
tensor([ 0.0537, -0.0749])
tensor([ 0.0459, -0.0749])
tensor([ 0.0529, -0.0674])
tensor([ 0.0451, -0.0681])
tensor([ 0.0677, -0.0763])
tensor([ 0.0620, -0.0720])
tensor([ 0.0555, -0.0761])
tensor([ 0.0676, -0.0747])
tensor([ 0.0658, -0.0864])
tensor([ 0.0564, -0.0922])
tensor([ 0.0628, -0.0944])
tensor([ 0.0609, -0.0911])
tensor([ 0.0691, -0.0789])
tensor([ 0.0596, -0.0859])
tensor([ 0.0644, -0.0842])
tensor([ 0.0665, -0.0911])
tensor([ 0.0648, -0.0849])
tensor([ 0.0846, -0.0850])
tensor([ 0.0888, -0.0852])
tensor([ 0.0703, -0.1092])
tensor([ 0.0693, -0.0758])
tensor([ 0.0864, -0.1200])
tensor([ 0.0822, -0.0940])
tensor([ 0.0780, -0.1058])
tensor([ 0.0685, -0.0993])
tensor([ 0.1070, -0.0979])
tensor([ 0.1089, -0.1056])
tensor([ 0.1112, -0.1068])
tensor([ 0.1110, -0.0947])
tensor([ 0.1238, -0.0994])
tensor([ 0.1240, -0.1102])
tensor([ 0.1079, -0.1066])
tensor([ 0.1110, -0.1241])
tensor([ 0.1329, -0.1073])
tensor([ 0.1258, -0.1123])
tensor([ 0.1329, -0.1099])
tensor([ 0.1371, -0.1093])
tensor([ 0.1524, -0.0977])
tensor([ 0.1353, -0.0989])
tensor([ 0.1410, -0.1008])
tensor([ 0.1508, -0.1002])
tensor([ 0.1391, -0.1015])
tensor([ 0.1450, -0.1000])
tensor([ 0.1570, -0.1067])
tensor([ 0.1650, -0.1010])
tensor([ 0.1606, -0.1035])
tensor([ 0.1645, -0.0990])
tensor([ 0.1784, -0.1102])
tensor([ 0.1810, -0.1041])
tensor([ 0.1724, -0.0967])
tensor([ 0.1760, -0.1026])
tensor([ 0.1847, -0.1041])
tensor([ 0.2102, -0.1116])
tensor([ 0.1851, -0.1108])
tensor([ 0.1909, -0.1064])
tensor([ 0.2087, -0.1144])
tensor([ 0.2002, -0.1104])
tensor([ 0.2118, -0.1098])
tensor([ 0.1846, -0.1052])
tensor([ 0.2058, -0.1135])
tensor([ 0.2025, -0.1042])
tensor([ 0.2195, -0.1210])
tensor([ 0.2158, -0.0984])
tensor([ 0.2242, -0.0938])
tensor([ 0.2309, -0.0998])
tensor([ 0.2247, -0.0962])
tensor([ 0.2425, -0.0982])
tensor([ 0.2343, -0.0915])
tensor([ 0.2546, -0.0973])
tensor([ 0.2319, -0.0857])
tensor([ 0.2647, -0.0905])
tensor([ 0.2623, -0.1021])
tensor([ 0.2648, -0.0822])
tensor([ 0.2710, -0.0949])
tensor([ 0.2691, -0.0974])
tensor([ 0.2576, -0.1000])
tensor([ 0.2683, -0.0798])
tensor([ 0.2798, -0.1002])
tensor([ 0.2877, -0.0778])
tensor([ 0.2975, -0.0953])
tensor([ 0.2884, -0.0838])
tensor([ 0.2906, -0.0766])
tensor([ 0.2957, -0.0849])
tensor([ 0.3087, -0.0633])
tensor([ 0.3106, -0.0701])
tensor([ 0.3131, -0.0716])
tensor([ 0.2988, -0.0693])
tensor([ 0.2959, -0.0652])
tensor([ 0.3392, -0.0600])
tensor([-0.0086, -0.0542])
tensor([-0.0004, -0.0742])
tensor([-0.0079, -0.0833])
tensor([-0.0150, -0.0712])
tensor([-0.0003, -0.0682])
tensor([-0.0032, -0.0632])
tensor([ 0.0027, -0.0412])
