tensor([ 0.0589, -0.0560])
tensor([ 0.0566, -0.0632])
tensor([ 0.0514, -0.0573])
tensor([ 0.0552, -0.0783])
tensor([ 0.0591, -0.0595])
tensor([ 0.0599, -0.0615])
tensor([ 0.0489, -0.0777])
tensor([ 0.0623, -0.0603])
tensor([ 0.0474, -0.0712])
tensor([ 0.0473, -0.0532])
tensor([ 0.0616, -0.0839])
tensor([ 0.0593, -0.0545])
tensor([ 0.0696, -0.0706])
tensor([ 0.0473, -0.0580])
tensor([ 0.0594, -0.0533])
tensor([ 0.0448, -0.0555])
tensor([ 0.0445, -0.0597])
tensor([ 0.0472, -0.0664])
tensor([ 0.0463, -0.0570])
tensor([ 0.0537, -0.0548])
tensor([ 0.0522, -0.0634])
tensor([ 0.0493, -0.0723])
tensor([ 0.0509, -0.0512])
tensor([ 0.0472, -0.0681])
tensor([ 0.0538, -0.0650])
tensor([ 0.0567, -0.0427])
tensor([ 0.0464, -0.0470])
tensor([ 0.0396, -0.0474])
tensor([ 0.0378, -0.0604])
tensor([ 0.0447, -0.0487])
tensor([ 0.0573, -0.0458])
tensor([ 0.0477, -0.0392])
tensor([ 0.0408, -0.0594])
tensor([ 0.0401, -0.0344])
tensor([ 0.0504, -0.0555])
tensor([ 0.0388, -0.0426])
tensor([ 0.0377, -0.0425])
tensor([ 0.0275, -0.0496])
tensor([ 0.0429, -0.0185])
tensor([ 0.0404, -0.0376])
tensor([ 0.0438, -0.0373])
tensor([ 0.0367, -0.0545])
tensor([ 0.0362, -0.0421])
tensor([ 0.0340, -0.0333])
tensor([ 0.0370, -0.0313])
tensor([ 0.0379, -0.0308])
tensor([ 0.0210, -0.0239])
tensor([ 0.0440, -0.0234])
tensor([ 0.0301, -0.0184])
tensor([ 0.0325, -0.0252])
tensor([ 0.0371, -0.0306])
tensor([ 0.0313, -0.0386])
tensor([ 0.0115, -0.0152])
tensor([ 0.0346, -0.0114])
tensor([ 0.0383, -0.0380])
tensor([ 0.0358, -0.0214])
tensor([ 0.0348, -0.0184])
tensor([ 0.0237, -0.0135])
tensor([ 0.0305, -0.0179])
tensor([ 0.0343, -0.0203])
tensor([ 0.0288, -0.0292])
tensor([ 0.0171, -0.0173])
tensor([ 0.0222, -0.0174])
tensor([ 0.0229, -0.0216])
tensor([ 0.0218, -0.0242])
tensor([ 0.0082, -0.0164])
tensor([ 0.0143, -0.0123])
tensor([ 0.0113, -0.0093])
tensor([ 0.0171, -0.0219])
tensor([ 0.0195, -0.0104])
tensor([ 0.0101, -0.0214])
tensor([ 0.0144, -0.0110])
tensor([ 0.0199, -0.0237])
tensor([ 0.0168, -0.0187])
tensor([ 0.0057, -0.0228])
tensor([ 0.0143, -0.0083])
tensor([ 0.0161, -0.0212])
tensor([ 0.0025, -0.0065])
tensor([ 0.0134, -0.0215])
tensor([ 0.0054, -0.0078])
tensor([ 0.0066, -0.0132])
tensor([ 0.0117, -0.0184])
tensor([ 0.0071, -0.0252])
tensor([ 0.0147, -0.0075])
tensor([ 0.0034, -0.0106])
tensor([ 0.0012, -0.0121])
tensor([ 0.0020, -0.0310])
tensor([-0.0036, -0.0179])
tensor([-0.0011, -0.0247])
tensor([-0.0056, -0.0203])
tensor([ 0.0005, -0.0211])
tensor([ 0.0008, -0.0306])
tensor([-0.0217, -0.0234])
tensor([-0.0179, -0.0278])
tensor([-0.0111, -0.0157])
tensor([-0.0214, -0.0471])
tensor([-0.0244, -0.0218])
tensor([ 0.1433, -0.0087])
tensor([ 0.1620, -0.0196])
tensor([ 0.1489, -0.0127])
tensor([ 0.1560, -0.0123])
tensor([ 0.1601, -0.0141])
tensor([ 0.1568, -0.0179])
tensor([ 0.1533, -0.0107])
tensor([0.1562, 0.0064])
tensor([ 0.1526, -0.0103])
tensor([ 0.1611, -0.0114])
tensor([ 0.1577, -0.0157])
tensor([ 0.1589, -0.0082])
tensor([ 0.1651, -0.0160])
tensor([ 0.1551, -0.0091])
tensor([ 0.1567, -0.0014])
tensor([ 0.1664, -0.0217])
tensor([ 0.1738, -0.0095])
tensor([ 0.1623, -0.0178])
tensor([ 0.1672, -0.0113])
tensor([ 0.1690, -0.0235])
